from,to,positive,neutral,negative
prplwtf,abysssdweller,"[{'message': 'Sounds like a great idea! With the best of intentions, what could possibly go wrong..', 'score': 0.446619, 'file_name': 'pr_64.csv'}]",[],[]
qwertychouskie,prplwtf,[],[],"[{'message': ""\nDo you have reason to believe these commits are malicious?  They're from a different author"", 'score': -0.775652, 'file_name': 'pr_64.csv'}]"
luke-hill,qwertychouskie,"[{'message': '@qwertychouskie - Are they? Everything is open for discussion and it seems there is more and more unravelling each day/week', 'score': 0.690386, 'file_name': 'pr_64.csv'}]",[],[]
JiaT75,TheStoryEnd,"[{'message': 'Hello!\n\nThis CVE was never reported to us, so we do not have any further information about it. So at this moment we cannot say which versions of XZ Utils this effects or if it was unknowingly patched by a change made after 5.2.5.\n\nIf you or anyone else has additional information about this CVE please share it over email or through a [GitHub security advisory](https://github.com/tukaani-project/xz/security/advisories). For more information please see [our Security Policy](https://github.com/tukaani-project/xz/blob/master/.github/SECURITY.md).\n\nThanks for bringing this to our attention.', 'score': 0.370885, 'file_name': 'issue_61.csv'}]",[],[]
ljdarj,Larhzu,[],"[{'message': ""Hello,\n\nHas there been any progress on a prototype for that feature? If not, I'd like to take a stab at it in Java."", 'score': 0, 'file_name': 'issue_50.csv'}]",[]
Larhzu,ljdarj,[],[],"[{'message': 'No progress at least from my side. Feel free to experiment.', 'score': -0.784407, 'file_name': 'issue_50.csv'}]"
furiousdroid,JiaT75,[],[],"[{'message': 'they was gonna backdoor NT aswell bruh 🤦😂', 'score': -0.908046, 'file_name': 'issue_18.csv'}]"
